Partition;RecId;DefaultDimension;Seconds;TermRegStartRecID;TermRegStopRecID;Worker;WorkerPilot;AbsencePayQty;ActOprID;BreakTime;BreakTolerance;CorrStartDate;CorrStartTime;CorrStopDate;CorrStopTime;CostAbsence;CostBreak;CostFactor;CostFlexAdd;CostFlexSub;CostNormTime;CostOverTime;CostPayAdd;CostPayAddManual;ErrorCause;HourPrice;JobFinished;JobId;JobIDAbs;JobPayType;JobRef;JobRefType;JobType;JourRegType;Module;OnCallActivity;OprNum;PieceRatePayCostTypeMin;PieceRatePayMinRate;PieceRatePayRate;ProfileDate;ProjCategory;ProjEmplTransId;QtyError;QtyGood;QtyStartup;RouteJobType;SecondsOnReg;SecondsOnTrans;StampType;StampTypeSpec;StartDate;StartTime;StopDate;StopTime;SysErrorSpecification;SysQtyError;SysQtyGood;SysQtyStartup;TermStart;TermStop;TransId;Voucher;WorkflowStatus;WrkCtrId;WrkCtrIdPilot;dataAreaId;recVersion;
5.637.144.576;5.638.398.730;5.637.152.084;5914;5.638.502.291;5.638.502.309;5.637.145.365;0;0,00;405;0;0;27-02-2018;13:05:10;27-02-2018;14:43:44;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;294961;;Timepris;520876;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;27-02-2018;;;;;0,00;Proces;5.914;5.914;Job;Arbejdstid;27-02-2018;13:05:10;27-02-2018;14:43:44;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;10;;;1404;;dol;1;
5.637.144.576;5.638.398.732;5.637.152.084;7;5.638.502.313;5.638.502.314;5.637.145.365;0;0,00;405;0;0;27-02-2018;14:43:55;27-02-2018;14:44:02;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;294961;;Timepris;520876;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;27-02-2018;;;;96,00;0,00;Proces;7;7;Job;Arbejdstid;27-02-2018;14:43:55;27-02-2018;14:44:02;;0,00;96,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;12;;;1404;;dol;1;
5.637.144.576;5.638.398.727;5.637.152.084;14;5.638.502.285;5.638.502.287;5.637.145.365;0;0,00;405;0;0;27-02-2018;13:04:27;27-02-2018;13:04:41;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;294961;;Timepris;520876;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;27-02-2018;;;;;0,00;Proces;14;14;Job;Arbejdstid;27-02-2018;13:04:27;27-02-2018;13:04:41;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;7;;;1404;;dol;1;
5.637.144.576;5.638.392.204;5.637.149.832;9097;5.638.493.671;5.638.493.698;5.637.144.586;0;0,00;405;0;0;20-02-2018;16:47:22;20-02-2018;19:52:43;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;295060;;Timepris;520939;Proces;Forkalkulation;Proces;Produktion;;30;;0,00;0,00;20-02-2018;;;;120,00;0,00;Proces;9.621;9.621;Job;Arbejdstid;20-02-2018;16:47:22;20-02-2018;19:52:43;;0,00;120,00;0,00;DOLLE-RDSH2;DOLLE-RDSH2;6;;;1404;;dol;1;
5.637.144.576;5.638.403.466;5.637.152.084;3658;5.638.508.865;5.638.508.878;5.637.144.586;0;0,00;405;0;0;06-03-2018;15:25:05;06-03-2018;16:26:03;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;295099;;Timepris;521206;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;06-03-2018;;;;43,00;0,00;Proces;3.658;3.658;Job;Arbejdstid;06-03-2018;15:25:05;06-03-2018;16:26:03;;0,00;43,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;2;;;1404;;dol;1;
5.637.144.576;5.638.404.007;5.637.152.084;3374;5.638.508.848;5.638.508.866;5.637.145.365;0;0,00;405;0;0;06-03-2018;14:33:46;06-03-2018;15:30:00;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;295099;;Timepris;521206;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;06-03-2018;;;;53,00;0,00;Proces;3.428;3.374;Job;Arbejdstid;06-03-2018;14:33:46;06-03-2018;15:30:54;;0,00;53,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;7;;;1404;;dol;1;
5.637.144.576;5.638.409.834;5.637.152.084;5837;5.638.512.882;5.638.512.930;5.637.145.365;0;0,00;405;0;0;12-03-2018;13:36:21;12-03-2018;15:13:38;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;295112;;Timepris;521595;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;12-03-2018;;;;70,00;0,00;Proces;5.837;5.837;Job;Arbejdstid;12-03-2018;13:36:21;12-03-2018;15:13:38;;0,00;70,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;5;;;1404;;dol;1;
5.637.144.576;5.638.409.284;5.637.152.084;2967;5.638.512.951;5.638.512.963;5.637.144.586;0;0,00;405;0;0;12-03-2018;15:33:06;12-03-2018;16:22:33;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Nej;295112;;Timepris;521595;Proces;Normal;Proces;Produktion;;30;;0,00;0,00;12-03-2018;;;;;0,00;Proces;2.967;2.967;Job;Arbejdstid;12-03-2018;15:33:06;12-03-2018;16:22:33;;0,00;0,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;3;;;1404;;dol;1;
5.637.144.576;5.638.409.285;5.637.152.084;640;5.638.512.964;5.638.512.966;5.637.144.586;0;0,00;405;0;0;12-03-2018;16:22:33;12-03-2018;16:43:54;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;295112;;Timepris;521595;Proces;Forkalkulation;Proces;Produktion;;30;;0,00;0,00;12-03-2018;;;;26,00;0,00;Proces;17;1.281;Job;Arbejdstid;12-03-2018;16:22:33;12-03-2018;16:22:50;;0,00;26,00;0,00;DOLLE-RDSH3;DOLLE-RDSH3;4;;;1404;;dol;1;
5.637.144.576;5.638.399.076;5.637.149.835;4983;5.638.504.153;5.638.504.159;5.637.149.827;0;0,00;405;0;0;28-02-2018;20:59:37;28-02-2018;22:42:40;0,00;0,00;1,00;0,00;0,00;305,00;0,00;0,00;0,00;;305,00;Ja;303329;;Timepris;522173;Proces;Normal;Proces;Produktion;;60;;0,00;0,00;28-02-2018;;;;48,00;0,00;Proces;4.983;4.983;Job;Arbejdstid;28-02-2018;20:59:37;28-02-2018;22:42:40;;0,00;48,00;0,00;DOLLE-RDSH4;DOLLE-RDSH4;10;;;1405;;dol;1;
