;NAME;JOBREF;CORRSTARTTIME;CORRSTOPTIME;QTYGOOD;CORRSTARTDATE;CORRSTOPDATE
0;SW56-3 : 1275 x 676 : H/H : 190F : ST1 : 3D/3F/3B/12T : SA;523070;43255;48479;70.0;2018-01-12;2018-01-12
1;SW56-3 : 1375 x 676 : H/H : 190F : ST1 : 3D/3F/3B/12T : SA;522639;27074;28554;0.0;2018-01-15;2018-01-15
2;SW56-3 : 1175 x 576 : H/H : 190F : ST1 : 3D/3F/3B/12T : SA;522586;42992;53487;84.0;2018-01-15;2018-01-15
3;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;523181;27351;31378;48.0;2018-01-16;2018-01-16
4;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;522920;31378;33710;0.0;2018-01-16;2018-01-16
5;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;522920;35199;40234;48.0;2018-01-16;2018-01-16
6;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;522924;54101;55800;25.0;2018-01-16;2018-01-16
7;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;523045;18294;22792;48.0;2018-01-18;2018-01-18
8;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;521802;34797;37036;14.0;2018-01-18;2018-01-18
9;SW56-3 : 1175 x 676 : H/H : 190F : ST1 : 3D/3F/3B/12T : SA;523046;46187;51493;70.0;2018-01-18;2018-01-18
10;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;521628;51493;55800;65.0;2018-01-18;2018-01-18
11;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;523355;40122;44035;32.0;2018-01-19;2018-01-19
12;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;522458;49980;54878;60.0;2018-01-23;2018-01-23
